combination,emd,System,Tiempo
"(['A']); (['AN', 'BN'])",0.1875,"('A', 'AB')",00:00.014413
"(['A']); (['AN', 'CN'])",0.1875,"('A', 'AC')",00:00.002000
"(['A']); (['AN', 'DN'])",0.1875,"('A', 'AD')",00:00.002000
"(['A']); (['AN', 'EN'])",0.1875,"('A', 'AE')",00:00.002000
"(['A']); (['AN', 'FN'])",0.1875,"('A', 'AF')",00:00.002515
"(['A']); (['BN', 'CN'])",0.1875,"('A', 'BC')",00:00.002008
"(['A']); (['BN', 'DN'])",0.1875,"('A', 'BD')",00:00.001002
"(['A']); (['BN', 'EN'])",0.1875,"('A', 'BE')",00:00.001000
"(['A']); (['BN', 'FN'])",0.1875,"('A', 'BF')",00:00.001999
"(['A']); (['CN', 'DN'])",0.1875,"('A', 'CD')",00:00.001338
"(['A']); (['CN', 'EN'])",0.1875,"('A', 'CE')",00:00.000999
"(['A']); (['CN', 'FN'])",0.1875,"('A', 'CF')",00:00.002003
"(['A']); (['DN', 'EN'])",0.1875,"('A', 'DE')",00:00.001002
"(['A']); (['DN', 'FN'])",0.1875,"('A', 'DF')",00:00.001886
"(['A']); (['EN', 'FN'])",0.1875,"('A', 'EF')",00:00.002010
"(['B']); (['AN', 'BN'])",0.1875,"('B', 'AB')",00:00.001002
"(['B']); (['AN', 'CN'])",0.1875,"('B', 'AC')",00:00.002042
"(['B']); (['AN', 'DN'])",0.1875,"('B', 'AD')",00:00.002199
"(['B']); (['AN', 'EN'])",0.1875,"('B', 'AE')",00:00.002007
"(['B']); (['AN', 'FN'])",0.1875,"('B', 'AF')",00:00.001978
"(['B']); (['BN', 'CN'])",0.1875,"('B', 'BC')",00:00.001000
"(['B']); (['BN', 'DN'])",0.1875,"('B', 'BD')",00:00.001554
"(['B']); (['BN', 'EN'])",0.1875,"('B', 'BE')",00:00.002012
"(['B']); (['BN', 'FN'])",0.1875,"('B', 'BF')",00:00.001000
"(['B']); (['CN', 'DN'])",0.1875,"('B', 'CD')",00:00.000980
"(['B']); (['CN', 'EN'])",0.1875,"('B', 'CE')",00:00.000998
"(['B']); (['CN', 'FN'])",0.1875,"('B', 'CF')",00:00.001947
"(['B']); (['DN', 'EN'])",0.1875,"('B', 'DE')",00:00.003000
"(['B']); (['DN', 'FN'])",0.1875,"('B', 'DF')",00:00.002321
"(['B']); (['EN', 'FN'])",0.1875,"('B', 'EF')",00:00.002520
"(['C']); (['AN', 'BN'])",0.1875,"('C', 'AB')",00:00.000000
"(['C']); (['AN', 'CN'])",0.1875,"('C', 'AC')",00:00.001981
"(['C']); (['AN', 'DN'])",0.1875,"('C', 'AD')",00:00.002004
"(['C']); (['AN', 'EN'])",0.1875,"('C', 'AE')",00:00.000998
"(['C']); (['AN', 'FN'])",0.1875,"('C', 'AF')",00:00.001016
"(['C']); (['BN', 'CN'])",0.1875,"('C', 'BC')",00:00.000999
"(['C']); (['BN', 'DN'])",0.1875,"('C', 'BD')",00:00.001018
"(['C']); (['BN', 'EN'])",0.1875,"('C', 'BE')",00:00.002004
"(['C']); (['BN', 'FN'])",0.1875,"('C', 'BF')",00:00.002508
