combination,emd
"(, ); (A, AB)",1.375
"(A, AB); (, )",1.375
"(, A); (A, B)",1.3125
"(A, B); (, A)",1.3125
"(, B); (A, A)",1.3125
"(A, A); (, B)",1.3125
"(, AB); (A, )",1.34375
"(A, ); (, AB)",1.34375
"(, ); (A, AC)",1.375
"(A, AC); (, )",1.375
"(, A); (A, C)",1.3125
"(A, C); (, A)",1.3125
"(, C); (A, A)",1.3125
"(A, A); (, C)",1.3125
"(, AC); (A, )",1.34375
"(A, ); (, AC)",1.34375
"(, ); (A, BC)",1.375
"(A, BC); (, )",1.375
"(, B); (A, C)",1.3125
"(A, C); (, B)",1.3125
"(, C); (A, B)",1.3125
"(A, B); (, C)",1.3125
"(, BC); (A, )",1.34375
"(A, ); (, BC)",1.34375
"(, ); (B, AB)",1.375
"(B, AB); (, )",1.375
"(, A); (B, B)",1.3125
"(B, B); (, A)",1.3125
"(, B); (B, A)",1.3125
"(B, A); (, B)",1.3125
"(, AB); (B, )",1.34375
"(B, ); (, AB)",1.34375
"(, ); (B, AC)",1.375
"(B, AC); (, )",1.375
"(, A); (B, C)",1.3125
"(B, C); (, A)",1.3125
"(, C); (B, A)",1.3125
"(B, A); (, C)",1.3125
"(, AC); (B, )",1.34375
"(B, ); (, AC)",1.34375
"(, ); (B, BC)",1.375
"(B, BC); (, )",1.375
"(, B); (B, C)",1.3125
"(B, C); (, B)",1.3125
"(, C); (B, B)",1.3125
"(B, B); (, C)",1.3125
"(, BC); (B, )",1.34375
"(B, ); (, BC)",1.34375
"(, ); (C, AB)",1.375
"(C, AB); (, )",1.375
"(, A); (C, B)",1.3125
"(C, B); (, A)",1.3125
"(, B); (C, A)",1.3125
"(C, A); (, B)",1.3125
"(, AB); (C, )",1.34375
"(C, ); (, AB)",1.34375
"(, ); (C, AC)",1.375
"(C, AC); (, )",1.375
"(, A); (C, C)",1.3125
"(C, C); (, A)",1.3125
"(, C); (C, A)",1.3125
"(C, A); (, C)",1.3125
"(, AC); (C, )",1.34375
"(C, ); (, AC)",1.34375
"(, ); (C, BC)",1.375
"(C, BC); (, )",1.375
"(, B); (C, C)",1.3125
"(C, C); (, B)",1.3125
"(, C); (C, B)",1.3125
"(C, B); (, C)",1.3125
"(, BC); (C, )",1.34375
"(C, ); (, BC)",1.34375
"(, ); (A, ABC)",0.375
"(A, ABC); (, )",0.375
"(, A); (A, BC)",1.375
"(A, BC); (, A)",1.375
"(, B); (A, AC)",1.375
"(A, AC); (, B)",1.375
"(, C); (A, AB)",1.375
"(A, AB); (, C)",1.375
"(, AB); (A, C)",1.3125
"(A, C); (, AB)",1.3125
"(, BC); (A, A)",1.3125
"(A, A); (, BC)",1.3125
"(, ABC); (A, )",1.34375
"(A, ); (, ABC)",1.34375
"(A, B); (, AC)",1.3125
"(, AC); (A, B)",1.3125
"(, ); (B, ABC)",0.375
"(B, ABC); (, )",0.375
"(, A); (B, BC)",1.375
"(B, BC); (, A)",1.375
"(, B); (B, AC)",1.375
"(B, AC); (, B)",1.375
"(, C); (B, AB)",1.375
"(B, AB); (, C)",1.375
"(, AB); (B, C)",1.3125
"(B, C); (, AB)",1.3125
"(, BC); (B, A)",1.3125
"(B, A); (, BC)",1.3125
"(, ABC); (B, )",1.34375
"(B, ); (, ABC)",1.34375
"(B, B); (, AC)",1.3125
"(, AC); (B, B)",1.3125
"(, ); (C, ABC)",0.375
"(C, ABC); (, )",0.375
"(, A); (C, BC)",1.375
"(C, BC); (, A)",1.375
"(, B); (C, AC)",1.375
