combination,emd,System,Tiempo
"(, A); (AB, )",0.1875,"('A', 'AB')",00:00.003998
"(, A); (AC, )",0.1875,"('A', 'AC')",00:00.001000
"(, A); (AD, )",0.1875,"('A', 'AD')",00:00.002890
"(, A); (AE, )",0.1875,"('A', 'AE')",00:00.002019
"(, A); (AF, )",0.1875,"('A', 'AF')",00:00.000991
"(, A); (BC, )",0.1875,"('A', 'BC')",00:00.002540
"(, A); (BD, )",0.1875,"('A', 'BD')",00:00.002002
"(, A); (BE, )",0.1875,"('A', 'BE')",00:00.001997
"(, A); (BF, )",0.1875,"('A', 'BF')",00:00.002508
"(, A); (CD, )",0.1875,"('A', 'CD')",00:00.002000
"(, A); (CE, )",0.1875,"('A', 'CE')",00:00.002001
"(, A); (CF, )",0.1875,"('A', 'CF')",00:00.002000
"(, A); (DE, )",0.1875,"('A', 'DE')",00:00.001922
"(, A); (DF, )",0.1875,"('A', 'DF')",00:00.002000
"(, A); (EF, )",0.1875,"('A', 'EF')",00:00.002001
"(, B); (AB, )",0.1875,"('B', 'AB')",00:00.003523
"(, B); (AC, )",0.1875,"('B', 'AC')",00:00.002022
"(, B); (AD, )",0.1875,"('B', 'AD')",00:00.003005
"(, B); (AE, )",0.1875,"('B', 'AE')",00:00.003515
"(, B); (AF, )",0.1875,"('B', 'AF')",00:00.001999
"(, B); (BC, )",0.1875,"('B', 'BC')",00:00.001000
"(, B); (BD, )",0.1875,"('B', 'BD')",00:00.002513
"(, B); (BE, )",0.1875,"('B', 'BE')",00:00.002000
"(, B); (BF, )",0.1875,"('B', 'BF')",00:00.003001
"(, B); (CD, )",0.1875,"('B', 'CD')",00:00.003512
"(, B); (CE, )",0.1875,"('B', 'CE')",00:00.000998
"(, B); (CF, )",0.1875,"('B', 'CF')",00:00.001998
"(, B); (DE, )",0.1875,"('B', 'DE')",00:00.003000
"(, B); (DF, )",0.1875,"('B', 'DF')",00:00.000545
"(, B); (EF, )",0.1875,"('B', 'EF')",00:00.002996
"(, C); (AB, )",0.1875,"('C', 'AB')",00:00.002000
"(, C); (AC, )",0.1875,"('C', 'AC')",00:00.001025
"(, C); (AD, )",0.1875,"('C', 'AD')",00:00.001529
"(, C); (AE, )",0.1875,"('C', 'AE')",00:00.001014
"(, C); (AF, )",0.1875,"('C', 'AF')",00:00.000978
